utc,lat,lon,h,quality,E,N,U,est_E,est_N,est_U,err_2d,err_3d,err_h
1621218791.0,22.301021975,114.17890795555556,3.31,2,-15.369127707239066,-19.697799440791798,-0.16204908621672054,-11.581829950280747,-21.801484569524003,-1.059900571950456,4.332333715298321,4.4243929200676595,0.8978514857337354
1621218792.0,22.300990280555556,114.17893377222222,3.279,2,-12.708907531903307,-23.20746747807558,-0.19305509953019673,-8.778801518389702,-25.133795865014154,-1.0016466639254697,4.376810977387666,4.450875717181099,0.808591564395273
1621218793.0,22.3009601,114.17896831388889,3.24,2,-9.149636787083509,-26.549495937583835,-0.23206210753484946,-5.279555868635267,-28.416088590636583,-0.9821739337184141,4.296707396107824,4.361692584255351,0.7501118261835646
1621218794.0,22.3009244,114.17900559166667,3.212,2,-5.308427899224434,-30.502716113047185,-0.26007553036531483,-1.4818353266162108,-32.534176531252456,-0.9104733345744611,4.332394505060123,4.380942758265078,0.6503978042091463
1621218795.0,22.30088071388889,114.17904504166667,3.199,2,-1.2433849850989471,-35.340272697802874,-0.27309854586341586,2.540666212879936,-37.53001406695858,-0.8096217934713925,4.371957311401533,4.404755149601523,0.5365232476079766
1621218796.0,22.300829575,114.17908523611112,3.17,2,2.8983703677953265,-41.0031070081402,-0.3021331521184454,6.651592054522888,-43.28109922593572,-0.7199832348591655,4.390435237429092,4.4102743980058055,0.4178500827407201
1621218797.0,22.300774233333335,114.17912911666667,3.154,2,7.419956985170849,-47.131332159962945,-0.31817937253061856,11.227101503230337,-49.500796512155844,-0.6207550691246428,4.48427370905293,4.494470241293482,0.3025756965940243
1621218798.0,22.30071691388889,114.17917936388889,3.143,2,12.597588221881065,-53.47856350026623,-0.3292378185393119,16.488112259361905,-55.88913594218223,-0.5570375061763473,4.576793286127424,4.582458890336999,0.2277996876370354
1621218799.0,22.300657594444445,114.179235575,3.135,2,18.38976162854361,-60.047261178539564,-0.33731065111370384,22.290141248699136,-62.57418190540844,-0.5383058413469199,4.647395995738267,4.651740384813083,0.2009951902332161
1621218800.0,22.300595119444445,114.17929500833334,3.119,2,24.513968392154194,-66.96538460027296,-0.3534004856535873,28.419318305113173,-69.6012766493585,-0.5299438059829944,4.711654150835042,4.714960485628062,0.17654332032940712
1621218801.0,22.30053020277778,114.17935721111111,3.102,2,30.923553543283322,-74.15388145091589,-0.37050827245111506,34.78675651843261,-76.89566545713565,-0.5454116216233489,4.737268914043701,4.74049659271225,0.17490334917223382
1621218802.0,22.300463416666666,114.17942059444445,3.109,2,37.454793514074666,-81.54938739763557,-0.363634010265212,41.27600788001036,-84.36638011205454,-0.6057302410820138,4.747328425917351,4.753497424896601,0.24209623081680176
1621218803.0,22.300396625,114.179484075,3.079,2,43.99605755288541,-88.94550519997694,-0.39377513427239563,47.716757156762235,-91.77415961317678,-0.6946917917827378,4.67385187309184,4.68352881558033,0.30091665751034213
1621218804.0,22.300330388888888,114.17954580833334,3.077,2,50.35728813072059,-96.28010201962638,-0.3959292274635686,53.97227809434634,-99.10417580045797,-0.788222253468795,4.587324400638712,4.604067655339966,0.3922930260052264
1621218805.0,22.300265883333335,114.17960657500001,3.081,2,56.61891543168733,-103.42306460232604,-0.3920941272027392,60.12715241034802,-106.21703213875504,-0.8966966697273708,4.484861346024141,4.513159095244017,0.5046025425246317
1621218806.0,22.30020353888889,114.17966625833334,3.086,2,62.76891712998786,-110.32671574384854,-0.387267951471145,66.17308822998041,-113.10269390731806,-1.0516738752801005,4.3925431861376225,4.442507273339739,0.6644059238089555
1621218807.0,22.300147366666668,114.17971929166667,3.108,2,68.23368223776153,-116.54689042638145,-0.3654352580167881,71.3647865007869,-119.10246303025646,-1.1762391307104956,4.041629032903957,4.122155766050974,0.8108038726937075
1621218808.0,22.30010486666667,114.17975974722222,3.107,2,72.40238579367507,-121.25308352482666,-0.3665693896338311,74.88503570911682,-123.13650883140475,-1.2949940608128125,3.116222310442842,3.2515863602487207,0.9284246711789814
1621218809.0,22.300079094444445,114.17978387777778,3.124,2,74.888897161246,-124.1069436128588,-0.3496532692903642,77.1233536553998,-125.7910893010592,-1.3795931282639686,2.7980604931541513,2.981596658914921,1.0299398589736044
1621218810.0,22.300070408333333,114.17979205555557,3.139,2,75.73156920268679,-125.0687911205541,-0.3346821009363552,77.80830938246199,-126.58879400796809,-1.401998590614387,2.573569224256385,2.78611253203783,1.0673164896780318
1621218811.0,22.300070291666668,114.17979225833334,3.158,2,75.75246443246554,-125.08171040650943,-0.3156826040244667,77.81282540502791,-126.59221007016816,-1.401116816703796,2.5547400202704154,2.775763678922627,1.0854342126793293
1621218812.0,22.300070366666667,114.17979225833334,3.179,2,75.75246464143473,-125.07340574048838,-0.29468244135674126,77.80220376410237,-126.580351717976,-1.397734785607558,2.54407481219803,2.772912029657209,1.1030523442508167
1621218813.0,22.300070419444445,114.17979225833334,3.199,2,75.75246485057609,-125.06756181887289,-0.27468232471198206,77.8024850939628,-126.58263330823902,-1.4004892674792262,2.549122322719221,2.786658552562255,1.1258069427672441
1621218814.0,22.300070452777778,114.17979226111112,3.22,2,75.75275131398357,-125.06387108484148,-0.2536822565782657,77.80242065726593,-126.58224572699743,-1.400114764217193,2.550804965247979,2.7965896133156583,1.1464325076389272
1621218815.0,22.300070422222223,114.17979226944445,3.224,2,75.75361007269527,-125.06725471087329,-0.24968233196676692,77.80412681753,-126.58282719698006,-1.4004851583486426,2.54981938213112,2.7974856615718404,1.1508028263818757
1621218816.0,22.300070416666667,114.17979226944445,3.225,2,75.75361008810731,-125.06786992152774,-0.24868234512737786,77.80468744263375,-126.58510100733936,-1.400182338364073,2.5512562556521603,2.799082120343808,1.1514999932366952
1621218817.0,22.300070416666667,114.17979226944445,3.224,2,75.75361007619358,-125.06786990182137,-0.2496823446955787,77.80482299090927,-126.58400799402669,-1.4000168102295114,2.5507154165316916,2.798109811770739,1.1503344655339327
1621218818.0,22.300070416666667,114.17979226944445,3.223,2,75.75361006427985,-125.06786988211499,-0.25068234426377956,77.80215204114779,-126.5820652686164,-1.3993437349351354,2.54741278545354,2.794411367338606,1.1486613906713559
1621218819.0,22.300070416666667,114.17979226944445,3.222,2,75.75361005232278,-125.06786986244467,-0.2516823449712149,77.8024261786317,-126.58098502142931,-1.4003286636912713,2.5469913631130803,2.794021003729529,1.1486463187200564
1621218820.0,22.300070416666667,114.17979226944445,3.22,2,75.75361002845197,-125.06786982306798,-0.25368234524685107,77.80196970511393,-126.58205144487685,-1.3995436235915895,2.5472580059347028,2.79312037298937,1.1458612783447384
1621218821.0,22.300070416666667,114.17979226944445,3.219,2,75.75361001653825,-125.0678698033616,-0.2546823448150519,77.80370372989988,-126.58307171462933,-1.399323181594816,2.5492589247611264,2.794445152565735,1.144640836779764
1621218822.0,22.300070416666667,114.17979226944445,3.217,2,75.75360999266744,-125.06786976355409,-0.2566823449139761,77.80113313675812,-126.5791862441384,-1.3995669498533625,2.5448828126404517,2.789733634288448,1.1428846049393864
1621218823.0,22.300070416666667,114.17979226944445,3.216,2,75.75360998113517,-125.06786974395612,-0.25768234544494817,77.8004519856877,-126.57851830960955,-1.401160778477917,2.5439381440025968,2.789115309076143,1.1434784330329688
1621218824.0,22.300070416666667,114.17979226944445,3.214,2,75.75360995726437,-125.06786970457944,-0.25968234572058435,77.79955405105007,-126.57898304332635,-1.3997851052030974,2.5434918433986358,2.787325790002854,1.140102759482513
1621218825.0,22.300070416666667,114.17979226944445,3.213,2,75.75360994577545,-125.06786968494544,-0.2606823451123219,77.8019254649988,-126.580068756904,-1.4001002098064461,2.546044481057541,2.789375480265732,1.1394178646941242
1621218826.0,22.300070416666667,114.17979226944445,3.211,2,75.75360992190465,-125.06786964556875,-0.2626823453879581,77.80126804041568,-126.58138282791586,-1.3995132589624455,2.5462965112968647,2.78854988291427,1.1368309135744874
1621218827.0,22.300070416666667,114.17979226944445,3.21,2,75.75360990956611,-125.06786962579,-0.26368234513262223,77.80113203500916,-126.5787010231196,-1.4009936118137012,2.5445939490095033,2.787191289211327,1.137311266681079
1621218828.0,22.300070416666667,114.17979226944445,3.208,2,75.75360988612012,-125.06786958648567,-0.2656823452317951,77.80110009228177,-126.58133906040636,-1.39942456945102,2.546135501660836,2.787145030994123,1.1337422242192248
1621218829.0,22.300070416666667,114.17979226944445,3.206,2,75.75360986229266,-125.06786954707293,-0.2676823443681897,77.80285945135861,-126.57934160943317,-1.4007379872247838,2.5463644031407777,2.78707494757347,1.133055642856594
1621218830.0,22.300070416666667,114.17979226944445,3.205,2,75.7536098503356,-125.0678695274026,-0.26868234507563216,77.80044350949679,-126.57984592833884,-1.3995163336889762,2.544720154607043,2.78466985028144,1.130833988613344
1621218831.0,22.300070416666667,114.17979226944445,3.203,2,75.7536098268896,-125.0678694880983,-0.27068234517480505,77.79889572135477,-126.57744518610372,-1.4001531692941216,2.5420490117436225,2.7816753082708083,1.1294708241193165
