utc,lat,lon,h,quality,E,N,U,est_E,est_N,est_U,err_2d,err_3d,err_h
1621218776.0,22.301199858333334,114.17905710833334,3.471,2,-3.5719279319274336e-10,1.6021275338297045e-10,-0.000999999770190411,3.2415451827642325,-1.4473406856655247,-2.5491217013527585,3.5499873570287868,4.369820870601022,2.548121701582568
1621218777.0,22.301199866666668,114.17905710000001,3.486,2,-0.000858689956202861,0.0009227864059200373,0.01400000062984029,3.2423570048296924,-1.4477613463214702,-2.548543725966974,3.552060494884859,4.379927409220655,2.5625437265968145
1621218778.0,22.301199891666666,114.1790570888889,3.481,2,-0.002003608038568313,0.0036911468771683798,0.009000000399498923,3.242364553757311,-1.4479716397565412,-2.5483639130507028,3.554328293133868,4.378739521961686,2.5573639134502018
1621218779.0,22.301199919444446,114.17905706666667,3.469,2,-0.004293446893765313,0.006767103338669999,-0.003000000198978398,3.241913313570115,-1.4476606842093447,-2.547918476252574,3.557136280896926,4.3737659483141265,2.5449184760535957
1621218780.0,22.30119995277778,114.1790570388889,3.458,2,-0.007155744026367166,0.01045825098852343,-0.014000000318923669,3.2424705994195953,-1.4472377173836724,-2.5478630006151284,3.5615935911086947,4.370973645824991,2.5338630002962046
1621218781.0,22.301199997222223,114.17905698611112,3.441,2,-0.012594110428047754,0.015379779819957418,-0.031000000194391256,3.2415462289494896,-1.4475319062014893,-2.5473065276387237,3.567848083854225,4.365929281323877,2.5163065274443324
1621218782.0,22.301200027777778,114.179056875,3.418,2,-0.024043303516248896,0.018763332066236253,-0.054000000632566776,3.2419778371177563,-1.4498493677470339,-2.548900790908704,3.5810218308635133,4.364429780216605,2.4949007902761373
1621218783.0,22.30119862777778,114.17905499722222,3.394,2,-0.21753464091116698,-0.13626485304574557,-0.07800000471434523,3.0226551896540657,-1.64173211619596,-2.522518328586095,3.5728506571805303,4.329079769911857,2.44451832387175
1621218784.0,22.30119312777778,114.179047975,3.374,2,-0.9411235852915791,-0.7453041259941817,-0.09800011206946174,2.208708066371854,-2.3372160434715914,-2.4372964316647274,3.52925246855866,4.234138667745702,2.339296319595266
1621218785.0,22.30118080277778,114.17903269444444,3.357,2,-2.5156739318312464,-2.1101056483588447,-0.11500084710830594,0.8229991121321567,-3.549540772663257,-2.2905432538617245,3.6357545532625153,4.23694417418398,2.1755424067534186
1621218786.0,22.301161802777777,114.17900870555556,3.358,3,-4.987555373117184,-4.2140589889535445,-0.11400334867996453,-1.6419667933244915,-5.625812164010669,-2.0404980117902602,3.6312546003445085,4.11064370379088,1.9264946631102957
1621218787.0,22.301138725,114.17897876388889,3.358,3,-8.072828399446344,-6.769561969697028,-0.11400871795398348,-4.713850792337523,-8.171316715920087,-1.7338332354494628,3.6397317117635715,3.983902408580918,1.6198245174954793
1621218788.0,22.301116494444447,114.17894925833333,3.359,3,-11.113164271479214,-9.231247707266085,-0.11301639251561513,-7.729515146737995,-10.634664887324636,-1.4370405561491495,3.6631490797735093,3.8950867983308135,1.3240241636335344
1621218789.0,22.301091522222222,114.17892130555556,3.371,3,-13.99349883026904,-11.996529868525856,-0.10102668442120333,-10.554478199282487,-13.484996990924175,-1.1301869129618638,3.7473186780432592,3.8860736033716274,1.0291602285406605
1621218790.0,22.30105871111111,114.17890365555556,3.351,3,-15.812207940235709,-15.629847323928335,-0.12103884232056483,-12.344717473953546,-17.192209977433638,-0.8442512899925461,3.8032180051669173,3.8713697110058507,0.7232124476719812
1621218791.0,22.301021975,114.17890795555556,3.31,2,-15.369127707239066,-19.697799440791798,-0.16204908621672054,-11.879804740043804,-21.267951272306632,-0.6583968432887874,3.826323502189241,3.8583821271818337,0.4963477570720669
1621218792.0,22.300990280555556,114.17893377222222,3.279,2,-12.708907531903307,-23.20746747807558,-0.19305509953019673,-9.311916186385949,-24.730913975431047,-0.5825236463204619,3.722961110705359,3.7432773315322763,0.3894685467902652
1621218793.0,22.3009601,114.17896831388889,3.24,2,-9.149636787083509,-26.549495937583835,-0.23206210753484946,-5.918813904127298,-27.892248846492535,-0.5806334371452126,3.4987428993020138,3.5160636864599875,0.3485713296103632
1621218794.0,22.3009244,114.17900559166667,3.212,2,-5.308427899224434,-30.502716113047185,-0.26007553036531483,-2.149818797709159,-31.866963919936,-0.5455847006283152,3.4406370826892037,3.4524627472400544,0.2855091702630004
1621218795.0,22.30088071388889,114.17904504166667,3.199,2,-1.2433849850989471,-35.340272697802874,-0.27309854586341586,1.83913465905876,-36.707954912137026,-0.4731997660304139,3.372311076402076,3.3782425156190974,0.20010122016699805
1621218796.0,22.300829575,114.17908523611112,3.17,2,2.8983703677953265,-41.0031070081402,-0.3021331521184454,5.915861249740436,-42.36992880794654,-0.39424927954987155,3.3126202702766476,3.3139007884939304,0.09211612743142616
